What kind of pet is this (Dog, Cat, Bird, Other)	Pet's Full Name (you don't have to include your last name. Think "Winston Churchill" and not "Winston Churchill MYLASTNAME")	Pet's everyday name (e.g. "Church")	Pet's age	Pet's breed (if applicable)
Dog	Angus OgDog Dogga McDuff	Angus	Deceased at 13	West Highland Terrier
Cat	Spot	Spotty Bear	4	Domestic short hair 
Cat	Cookie	Cooks	2	Ragdoll
Dog	Lady	Doofus	6	chocolate Lab mix
Dog	Maggie Peaches	Maggie	13	Bichon Poodle
Cat	Amelia	Amelita	2	
Dog	Camembert	Cami	5	Bernese Mountain Dog
Dog	Shadow	Shadow	3	Saluki
dog	archer	archer	3	Golden retreiver 
dog	robbie 	robz	1.5	whippet
Cat	Noah	Noah	2	
Other	Penny	Pen	4	
Cat	Lovey Cat	Lovey	18	
Dog	Roxy	Roxy	8	Pit bull
dog	Ashton Sebastian	Ash	9	pitbull mix
Dog	Maximum	Max	10	Puggle
Dog	Rosalind Pearl	Rosie	5	Border collie mix
bunny	Lena	Lena	8	dwarf rabbit
Hamster	Beauxbaton	Beau	2.5 years	Winter white
Dog	Chyna	Chyna	16	Little terrier poodle mix
Dog	Sadie	Sadie	4	Cockapoo
Dog	Flynn	Flynn	11 months	Corgi
Cat	Felicity Louise	Flick	4	Domestic short hair
Other (fish)	James Pond	James	5	Goldfish
Cat	Mars	Mars	8	Domestic Shorthair
Dog	Loki	Loki	3	
Cat	Millie 	Mill	13	Domestic shorthair 
Dog	Trixie	Trix	3	Toy Fox Terrier / Yorkie ("Torkie")
Dog	Birdy 	Birdy 	4	Pomeranian mix
Cat	Charlotte Wallace	Chuck	8	Cat
Cat	Thumper Dumper Bumble Butt	Thumper	16ish	Domestic short hair
Dog	Vince	Vincie 	11	Yellow lab
Dog	Cobert 	Cob 	2	Dalmatian
Betta fish	Little Prince	LP	2	Fish
Dog	Jack Daniel	Jackie	3	Chocolate lab
Dog	Crinkle	Crinkle	7	Mongrel
dog	Maisy Lynn Marie	Mimsy	6	beagle mix
Dog	Beemer	Beemo	7	Aussie doodle
Guinea Pig	Rosencrantz WGP	Rosie	3	
Cat	Michelin 	Michelin	14? 	Cat, he's a cat, we found him on my dad's tire... I think you can guess what brand tires my dad had
Dog	Mac	Mac	5	Boxer/mastiff mix
Dog	Maximillion Taxi 	Max	9	Lab mix
Dog	Krypto	Dinky	6	Golden Retriever
Cat	Piper	Pippin	5	Cat
Dog	Bo Jangles	Bo	9-10 mo	Husky/Boxer
Cat	Slinkey	Slonk	5	
Dog	Brixton	Brixie 	1	Golden Retriever 
Dog	Jasper	Jasper	10	Miniature labradoodle
Cat	Tabitha	Tabber	8	
Dog	Shadow Montgomery	Lovebug	2	Golden Retreiver
Fish	Vitale Male the hot tamale who has a cooking show with Mario Batale 	Vitale	1	Beta 
Cat	Ramona	Meemo	4	
Dog	Scout	Scout	14	Beagle 
Cat	Cocoa	Cokes, Nuts, Cocoa	12	Tuxedo shorthair
Cat	Napoleon	Deviled egg	2	
Dog	Libby	Libby	12	Golden retriever 
Dog	Jasper Tucker Oaf	Jasper	11	Black Lab
Cat	Clarissa Fluffnugget	Clary	2	Domestic Long Hair
Dog	Tazmanian Devik	Taz	9	Mutt
Dog	Iggy Pup	Iggy	4 months 	Miniature double doodle 
Dog	Lilly	Lilly	12	Labrador retriever
Dog 	Furrdinand 	Furrdie 	10	Pomeranian 
Dog	Monster Mayhem	Doodle	8	Dachshund 
Dog 	Watson	Watson 	6	Labrador retriever 
Dog	Shine	Shine	12	Mix hound
Dog	Freeney Schnurpel	Freenster	13	Shih Tzu
Dog	Bella Jean	Bella	No longer with us :(	Chihuahua/yorkie mix 
Dog	Ratchet	Ratchie	5	Pug/Dachshund 
Dog	Clifford	Clifford	4	Clumber spaniel
Dog	Goose	Gooby	1	Rat Terrier Mix
Cat!	Cricket	Crickby, Cringus, Don Crickles, etc.	I think he's around 7 or 8	Domestic Longhair
Dog	Magnus	Munchkin	7	Carin Terrier 
Cat	Baby Kitty	Baby Kitty	7	Kitty cat
Dog 	Shiloh’s Dixie Skye	Dixie 	8	Mini schnauzer 
Dog	Bootsie	BootsToots	17	Trrrier mixed 
Cat	Bowie	Kitty boy 	8 months 	Tuxedo cat
Dog	Mindy 	Mindy	10	Black lab 
Dog	Spock	Spock	7	Mix
Dog	Merlin	Mer-dog	12	Chesapeake bay retriever 
dog	Sylvia Plath	Sylvia	3	German Shorthaired Pointer
Dog 	Smokey Neyland	Smo 	9	Schnoodle 
Dog	Rufus Tee Hilderbrec	Rufus	11	shih tzu
Dog	Baillie	B or B-Dog	7	Border collie
Dog	Sebastian	Bash	4 months	Maltipoo
Cat	Mika Joe	Mika	9 years	Siamese
Dog	Tess	Tess	13	Border collie cross
Dog	Zorro	Z	8	Long-haired Chihuahua
Dog	Deacon 	Deac 	11	Chesapeake bay retriever 
Cat	Sir charles chickenhock chaplin the teleporting dot	Charlie	11	
Cat	Ally	Al	4	Cat
Rabbit	Gandalf	Gandalf	10	Lionhead
Cat	Lucas Adam Wilkins	Luke	10	Tabby
Dog	Robert Ferguson Mooney	Bobby	6	Golden retriever 
Dog	James buchanan barnes	Bucky	2	
Dog	Buddy Boy	Buddy	16	Cocker spaniel 
Cat	Cleo	Dump	2	Cat
Dog	Belle Watling	Belle	2	Maltese
Dog	Magladon wagladon	Maggie	1	Old English sheepdog
Dog	Bella	Bella	14	
Horse	Half pint	Half pint 	6	
Cat	Leah Suji Wilkins	The Squeak aka Squeakerfish	10	Tabby
Dog	Sophie	Sophie	11	Golden retriever 
Cat	Mitsy	Mitsy	4	
Dog	Stewart Little	Stewie 	16	 Pomeranian 
Dog	Sadie	Sadie	11 Months	Golden Retriever
Dog	Ashley Wilkes	Ash	11	Yorkie Poodle
Cow	Daisy the cow	Daisy	3	
Dog	Oliver Jospeh Andrew	Oliver	11-12 (deceased)	Golden Mix
Dog	Rhett	Rhetters	12	English springer spaniel 
Cat	Emma May Wilkins	Emma	4	Tortie
Cat	Hashtag Anamara Mainecoon	Hashtag	Six	Maine Coon
Fish 	Caroline Gravel	Gravel	2	Betta fish
Dog	Lily	Lil	5 years	Golden Retriever
Cat	Arthur Fonzarelli	Fonzie 	12	Part Maine coon
Cat	Vriska Serket	Vriska	8	Domestic Short Hair
Cat 	Fabio 	Fabio	3	
Dog	Cookie	CookieMonster	8	Shihtzu
Dog	Brutus 	Brutus	10	Great white pyrenees/yellow lab
Dog 	Ralph 	Ralph 	4 months 	Golden retriever 
Dog	Kurt	Kurtis	2	Black mouth cur 
Dog	Lyra Cristina	Lyra	9 mos	Mixed breed
Dog	Bailey bear	Bay girl	6	Lab and German shepherd mix
Dog	Brooklyn	Brooklyn	Two	Beagle
Cat	Isabelle	Izzy	11	Tortoise shell
Dog	Champion Craig	Champ	14	Beagle mix 
Cat	Kelly	Kelly	She died at age 13 in 2005 :(	
Dog	Lennox	Lenny 	4	Shihtzu
Dog	Sullivan Otis	Sulley 	10	Catahoula Leopard
cat	oreo vanilla cookie 	nene	11	
Cat	Chessie 	Chess	12 years	Siamese
Dog 	Hank	Hanky panky	1	Black mouth cur 
Dog	Allie Nichols	Allie	5	Mutt
Dog	Lila	Lila	5	Newfoundland 
Cat	Bubbles	Bubs	11 years	Chartreux
Dog	Liberty Louise	Libby	9	English Springer Spaniel
Cat	Sushi Charrito	Sush	2 years	Tuxedo cat
Cat	Mouse	MousePotato	3	
Cat	Kate	Katie	19	Tortie/Tortishell
Dog	Jimmy	JimmyJamSunshineMan	5	Shihtzu
dog	Rocky	Rocko	9	rottweiler
Dog	Sheldon Michael 	Shel	7	Westin/min pin
Dog	Jackson	Pupper	3	Australian blue cattle dog
Cat	Midnight	Keek	19	American Shorthair 
Dog	Maxwell Amos	Max	10	Catahoula Leopard 
cat	angelina 	whitey	5	
Dog	Margaret Lewis	Maggie	11	Mutt
Dog	ginger 	Geeper Creeper	10	Golden mix
Virus	Johannes venereal Versmear	Venny	2 weeks	
Dog	Gator	Tate 	8	Rottweiler/Irish setter
Dog	Badger	Badger	12	Dachshund 
Dog	Beauregard	Beau	22 yesrs	Golden Retriever
Dog	Buffy	Buffy and/or Buffalo	8	Beagle/jack russell/cow ;)
dog	duque	duque	1	mixes
Dog	Mika	Mika	5	Husky
Dog	Scarlett 	Little Girl	8	Boarder Collie
Dog	Macy	Macy	11	Golden Retriever Mix
Dog	Gromit Walker	Gromit	8	Golden retriever 
Cat	Ms. Kitty	Ms. Kitty	16?	
Dog	Gracie Lou Freebush 	Gracie	9	Black Lab/Angel 
Dog	River	River	14 weeks	Husky
Ferret	Leo	LeHOE	1	
Dog	Olaf	Olaf	4	Chihuahua
Dog	Buttons	Buttons (sometimes with a french accent)	2	Beagle
Dog 	Stevie James	Steve	9	Maltipoo 
Dog	Mila	Crusty	14	Rottweiler Mix
Dog	Murphy 	Murph 	5 yesrs	Golden Retriever 
cat	tiger	tiggy	5	
Cat	Edna Lou	Breadna	5	
Cat	Princess Purdy 	Purdy	11	Domestic long hair
Cat	Squidward 	Squid	1	Domestic shorthair 
Dog	Oscar the Amazing VelcroDog	Oscar	12	Terrier Mix
Dog	Poppy	Poppy	4	Shih Tzu
cat	daisy dukerson	daisy	5	
Cat	Tigger	Tigger	17	Tabby 
cat	bubbles	bubby	6	
Cat	Prince Charlie 	Charlie	11	Domestic long hair 
Dog	Ellie Mae	Ellie	13	Cocker spaniel
Dog	Snowy	Snow	11	Shih Tzu
Dog	Bruno	Bruno	4	Border Collie
Cat	Twitch	Twitch	11	Domestic Shorthair
Mona	Mona	Mona	Died at 12 in 2002	Bluetick beagle
cat	harley davidson	har mar	9	
Cat	Ted Kennedy 	Teddy	1	Domestic shorthair 
Dog	Yaz	Yazzy	11	Golden retriever/border collie
Dog	Princess Leia Organa	Princess	Dead	Mutt
Dog	Oakley 	Oak, oakey-doke	3	Shih Tzu
Dog	Tinkerbell 	Tinky	4	Chihuahua 
Cat	Bella	Bella	4	Maine Coon mix 
Cat	Fup 	Fup	10	N/a
Dog	Beckett	Beckett or Becky	9	Golden retriever 
Cat	Fudge	Fubdge	3	Ginger
Cat	Lady Luck	Lucky	11	Domestic Shorthair
Cat	Moose	Moose	4	Maine Coon mix
Dog	Logan	Logan	10	Black lab
Dog	Daisy Grace	Daisy	8	Mix
Cat	Leela	The Cat	10	Domestic Short Hair
Cat	Ellie	Ellie-phant	9	Calico
Cat	Her Royal Highness the Princess Blaze	Blaze	9	Domestic Shorthair 
Cat	Phillipe Robert Jean Luc Tugboat “Toot! Toot!”	Phillipe	4	Manx cat
